Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
6x6number,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.01 -M 0.4 -N 1000 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.0181122133199997E7,1104.0,567.0,530.0,37.0,0.0,93.47442680776014,6.525573192239859,0.0,0.9047750896464071,0.04907355382572125,0.1574344738312801,14.257927087141796,37.96162886786271,1015.1811190060482,166.70456972425728,848.476549281791,1.7904428906632244,0.29401158681526857,1.496431303847956,903.0482835820886,1.5926777488220258,88.95440101035888,0.9497206703910615,170.0,0.059278350515463915,23.0,0.9407216494845361,365.0,0.05027932960893855,9.0,0.8808290155440415,0.9497206703910615,0.9139784946236559,0.8734412834610764,0.9861775038875771,0.9602745391349498,0.9347442680776014,0.03451524905382751,0.9654847509461724,0.06525573192239859,0.9371414595184614,0.9347442680776014,0.934828241521333,0.9029404650730469,0.9881423679100269,0.9777185983380581,0.9310496009558449,0.9347442680776014,15.552,0.016,15.5625,0.015625,15562.5,15.625,65154.0,364668.0,190143.0,98.94179894179894,33.15696649029982,?
6x6number,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.01 -M 0.4 -N 1000 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.0181122133199997E7,1102.0,569.0,526.0,43.0,0.0,92.44288224956064,7.557117750439367,0.0,0.8898988853539013,0.058352459316871906,0.17413678434952026,16.950515057081592,41.97213629292329,1020.4141406712795,203.30134824151,817.1127924297695,1.793346468666572,0.35729586685678383,1.436050601809788,882.6961453620348,1.5513113275255446,86.50371551901007,0.9329608938547486,167.0,0.0641025641025641,25.0,0.9358974358974359,365.0,0.0670391061452514,12.0,0.8697916666666666,0.9329608938547486,0.9002695417789757,0.853270043231682,0.9791004154132645,0.9340858476678053,0.9244288224956063,0.038575869118187556,0.9614241308818124,0.07557117750439367,0.9267387169682864,0.9244288224956063,0.9245457097504426,0.88800782177696,0.9813820961664523,0.9610078861293667,0.922751661586243,0.9244288224956063,15.397,0.0,15.390625,0.0,15390.625,0.0,65154.0,364018.0,190793.0,98.59402460456943,33.91915641476274,?
6x6number,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.01 -M 0.4 -N 1000 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.0181122133199997E7,1102.0,569.0,533.0,36.0,0.0,93.67311072056239,6.3268892794376095,0.0,0.9081463810553032,0.04923492964621046,0.16369224711409372,14.30200930813453,39.45469265228535,1020.4141406712802,208.99647185386263,811.4176688174175,1.7933464686665732,0.36730487144791324,1.42604159721866,903.972025562696,1.5887030326233673,88.58873956490032,0.9497206703910615,170.0,0.05128205128205128,20.0,0.9487179487179487,370.0,0.05027932960893855,9.0,0.8947368421052632,0.9497206703910615,0.9214092140921409,0.8846079238121417,0.9802034092536885,0.9389463871123899,0.9367311072056239,0.029408553763437338,0.9705914462365627,0.0632688927943761,0.9378345638290304,0.9367311072056239,0.9366220710444679,0.906998631507371,0.9801059679535953,0.959793017780622,0.9299073469268986,0.9367311072056239,15.404,0.0,15.40625,0.0,15406.25,0.0,65154.0,364018.0,190793.0,97.18804920913884,32.161687170474515,?
6x6number,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.01 -M 0.4 -N 1000 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.01811221333E7,1101.0,570.0,534.0,36.0,0.0,93.6842105263158,6.315789473684211,0.0,0.9083560359072842,0.05241302374495208,0.15830562556583408,15.225269573647983,38.15672314325739,1022.0794854854036,164.28782779236343,857.7916576930402,1.793121904360357,0.2882242592848481,1.5048976450755092,906.938259563546,1.5911197536202561,88.73461139207046,0.95,171.0,0.05384615384615385,21.0,0.9461538461538461,369.0,0.05,9.0,0.890625,0.95,0.9193548387096774,0.8813625944489435,0.982079772079772,0.942907119979845,0.9368421052631579,0.03009451016295482,0.9699054898370452,0.06315789473684211,0.9383332098166564,0.9368421052631579,0.9369380776761794,0.9063638605415311,0.9867399526757563,0.9726089772795249,0.9384232871747257,0.9368421052631579,15.637,0.0,15.640625,0.0,15640.625,0.0,65154.0,363693.0,191118.0,98.94736842105263,34.29824561403509,?
6x6number,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.01 -M 0.4 -N 1000 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.01811221333E7,1103.0,568.0,534.0,34.0,0.0,94.01408450704226,5.985915492957746,0.0,0.9127377886222945,0.04625812067719668,0.15537441268786994,13.44137643434462,37.473289026532164,1016.5071428688306,231.98628213292326,784.5208607359073,1.7896252515296314,0.40842655305092124,1.38119869847871,903.4186627876438,1.5905258147669785,88.87479730225765,0.9720670391061452,174.0,0.061696658097686374,24.0,0.9383033419023136,365.0,0.027932960893854747,5.0,0.8787878787878788,0.9720670391061452,0.923076923076923,0.8875360012932862,0.9860119774238486,0.9561937569878727,0.9401408450704225,0.030191330574777794,0.9698086694252223,0.05985915492957746,0.9432692205798092,0.9401408450704225,0.9404117845644514,0.9122908243038735,0.9794558771561973,0.9591370889353107,0.9351622078659008,0.9401408450704225,15.88,0.0,15.875,0.0,15875.0,0.0,65154.0,364343.0,190468.0,97.00704225352112,32.04225352112676,?
6x6number,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.01 -M 0.4 -N 1000 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.01811221333E7,1104.0,567.0,535.0,32.0,0.0,94.35626102292768,5.64373897707231,0.0,0.9179743127229327,0.04962029684161713,0.15485508884635976,14.416778880996633,37.33967070887767,1015.1811190060484,162.30062369213317,852.8804953139153,1.7904428906632248,0.28624448622951176,1.504198404433713,906.37243111669,1.5985404428865784,89.28184480067046,0.9329608938547486,167.0,0.03608247422680412,14.0,0.9639175257731959,374.0,0.0670391061452514,12.0,0.9226519337016574,0.9329608938547486,0.9277777777777778,0.8942171869870321,0.9866454529747164,0.9664921286828794,0.9435626102292769,0.028483220161830584,0.9715167798381694,0.0564373897707231,0.9438019649565202,0.9435626102292769,0.9435774759462845,0.9148801413322453,0.987801536575919,0.978191680371363,0.9510691159972086,0.9435626102292769,15.544,0.0,15.546875,0.0,15546.875,0.0,65154.0,364668.0,190143.0,98.76543209876543,33.90652557319224,?
6x6number,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.01 -M 0.4 -N 1000 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.01811221334E7,1101.0,570.0,528.0,42.0,0.0,92.63157894736842,7.368421052631579,0.0,0.8933136063031426,0.05912361672800726,0.17187421652647317,17.170725070264105,41.4079346144927,1022.9551677179774,196.4166652184472,826.5385024995302,1.7946581889789077,0.3445906407341179,1.4500675482447898,890.8711153744532,1.5629317813586898,87.0879920731835,0.95,171.0,0.05641025641025641,22.0,0.9435897435897436,368.0,0.05,9.0,0.8860103626943006,0.95,0.9168900804289545,0.8777228444509981,0.9795726495726496,0.9332118750731432,0.9263157894736842,0.03348404613565912,0.966515953864341,0.07368421052631578,0.9280270526312987,0.9263157894736842,0.9265519222476021,0.8921140697759012,0.9816151122123504,0.9622505720578644,0.9166715211477805,0.9263157894736842,15.815,0.016,15.8125,0.015625,15812.5,15.625,65154.0,363693.0,191118.0,98.24561403508773,34.42982456140351,?
6x6number,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.01 -M 0.4 -N 1000 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.01811221334E7,1103.0,568.0,528.0,40.0,0.0,92.95774647887323,7.042253521126761,0.0,0.8976267612297405,0.05551622001554022,0.17347498407137155,16.124863963346094,41.80319966498563,1019.0913919989151,254.34983675753512,764.74155524138,1.794174985913583,0.4477990083759421,1.3463759775376407,885.1054211646814,1.5582841921913404,86.85240873525342,0.9608938547486033,172.0,0.061696658097686374,24.0,0.9383033419023136,365.0,0.03910614525139665,7.0,0.8775510204081632,0.9608938547486033,0.9173333333333333,0.8787326328940092,0.9830966092688601,0.9588694197650002,0.9295774647887324,0.03270193093017325,0.9672980690698267,0.07042253521126761,0.9317025690982486,0.9295774647887324,0.9291715771710728,0.8977872166489476,0.9768052138185466,0.9573897499746472,0.9145099350777101,0.9295774647887324,15.407,0.0,15.40625,0.0,15406.25,0.0,65154.0,364343.0,190468.0,97.1830985915493,33.054577464788736,?
6x6number,9,weka.classifiers.functions.MultilayerPerceptron,'-L 0.01 -M 0.4 -N 1000 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.01811221334E7,1103.0,568.0,535.0,33.0,0.0,94.19014084507042,5.809859154929577,0.0,0.9156557111487095,0.04993958891427497,0.15658401516490394,14.507827767521377,37.7474667369985,1017.3828251013915,200.83514955129687,816.5476755500947,1.7911669456010415,0.35358300977340995,1.4375839358276314,901.8857088390065,1.5878269521813495,88.64762472760687,0.9385474860335196,168.0,0.03598971722365039,14.0,0.9640102827763496,375.0,0.061452513966480445,11.0,0.9230769230769231,0.9385474860335196,0.9307479224376731,0.8985597865215578,0.9854949663224714,0.9677390029111296,0.9419014084507042,0.024384729514051677,0.9756152704859484,0.058098591549295774,0.94221963515691,0.9419014084507042,0.9418965010208187,0.9168510212610822,0.9844824396999999,0.9721216262282127,0.9305506106846121,0.9419014084507042,15.466,0.0,15.46875,0.0,15468.75,0.0,65154.0,364343.0,190468.0,97.53521126760563,32.87852112676056,?
6x6number,10,weka.classifiers.functions.MultilayerPerceptron,'-L 0.01 -M 0.4 -N 1000 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.01811221334E7,1103.0,568.0,528.0,40.0,0.0,92.95774647887323,7.042253521126761,0.0,0.8973209443580753,0.05633133680161487,0.16765020878005907,16.368384446141356,40.43397249452049,1016.5071428688298,205.99775990567085,810.5093829631589,1.7896252515296298,0.3626721125099839,1.426953139019646,884.1359925852234,1.5565774517345483,86.9778435683174,0.9162011173184358,164.0,0.030848329048843187,12.0,0.9691516709511568,377.0,0.08379888268156424,15.0,0.9318181818181818,0.9162011173184358,0.923943661971831,0.8894433821011485,0.9878358776981517,0.9716615902950269,0.9295774647887324,0.034413440507176395,0.9655865594928236,0.07042253521126761,0.9289379910541473,0.9295774647887324,0.9288590036935446,0.8961473900940927,0.9829042301016399,0.963400112000821,0.9089936139610142,0.9295774647887324,15.422,0.016,15.421875,0.015625,15421.875,15.625,65154.0,364343.0,190468.0,98.06338028169014,34.50704225352113,?
